Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Growth
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435.46,2019-02-08,1:03:00 PM,Cash,414.72,4.761904762,20.736,5.6,414.71999999999997
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6,789.6
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,394.63,2019-03-09,6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5,375.84
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.51,535.72,2019-02-27,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4,510.21000000000004
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.0,189.09,2019-02-06,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1,180.09
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.68,119.26,2019-02-10,12:45:00 PM,Credit card,113.58,4.761904762,5.679,8.1,113.58000000000001
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.32,867.62,2019-03-19,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9,826.3
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5,639.8
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234.1,2019-02-10,3:10:00 PM,Cash,222.95,4.761904762,11.1475,8.5,222.95
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.39,722.23,2019-02-28,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2,687.84
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6,716.8
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.17,759.68,2019-01-20,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4,723.51
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.18,192.84,2019-03-12,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3,183.66
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.72,351.1,2019-02-24,10:55:00 AM,Ewallet,334.38,4.761904762,16.719,7.0,334.38
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.78,520.41,2019-02-03,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10.0,495.63
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.9,166.0,2019-03-06,12:27:00 PM,Credit card,158.1,4.761904762,7.905,8.6,158.1
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.15,318.11,2019-02-14,2:35:00 PM,Cash,302.96,4.761904762,15.148,7.6,302.96000000000004
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.94,166.64,2019-03-13,4:40:00 PM,Cash,158.7,4.761904762,7.935,5.8,158.7
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,2019-01-07,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9,585.6600000000001
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.38,827.08,2019-01-24,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4,787.7
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6,894.8
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9,621.2
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.28,152.84,2019-03-05,6:17:00 PM,Ewallet,145.56,4.761904762,7.278,4.0,145.56
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.77,478.23,2019-03-09,6:21:00 PM,Cash,455.46,4.761904762,22.773,8.7,455.46000000000004
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.6,705.63,2019-01-22,10:55:00 AM,Ewallet,672.03,4.761904762,33.6015,9.4,672.03
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.82,437.32,2019-01-13,5:04:00 PM,Credit card,416.5,4.761904762,20.825,5.4,416.5
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.07,463.43,2019-01-09,2:20:00 PM,Credit card,441.36,4.761904762,22.068,8.6,441.36
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.0,189.09,2019-01-12,3:48:00 PM,Credit card,180.09,4.761904762,9.0045,5.7,180.09
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.16,822.26,2019-03-05,4:24:00 PM,Ewallet,783.1,4.761904762,39.155,6.6,783.1
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.1,107.0,2019-01-22,6:56:00 PM,Cash,101.9,4.761904762,5.095,6.0,101.9
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.76,624.9,2019-01-21,2:42:00 PM,Credit card,595.14,4.761904762,29.757,5.5,595.14
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.5,304.54,2019-01-26,7:56:00 PM,Ewallet,290.04,4.761904762,14.502,6.4,290.04
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,7.7,161.7,2019-01-23,6:37:00 PM,Ewallet,154.0,4.761904762,7.7,6.6,154.0
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.07,337.51,2019-02-23,6:45:00 PM,Credit card,321.44,4.761904762,16.072,8.3,321.44
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,12.23,256.78,2019-03-09,10:17:00 AM,Cash,244.55,4.761904762,12.2275,6.6,244.54999999999998
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.07,610.49,2019-03-05,2:31:00 PM,Ewallet,581.42,4.761904762,29.071,4.0,581.42
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00 AM,Cash,382.6,4.761904762,19.13,9.9,382.6
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.28,362.94,2019-03-27,8:35:00 PM,Credit card,345.66,4.761904762,17.283,7.3,345.65999999999997
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,23.1,485.04,2019-02-27,5:55:00 PM,Cash,461.94,4.761904762,23.097,6.1,461.94
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199.0,2019-01-23,10:25:00 AM,Cash,189.52,4.761904762,9.476,7.1,189.52
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,7:54:00 PM,Ewallet,448.6,4.761904762,22.43,8.2,448.59999999999997
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,2019-01-10,4:42:00 PM,Ewallet,153.86,4.761904762,7.693,5.1,153.86
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.96,608.2,2019-03-12,12:09:00 PM,Credit card,579.24,4.761904762,28.962,8.6,579.24
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.86,102.02,2019-03-08,8:38:00 PM,Ewallet,97.16,4.761904762,4.858,7.2,97.16
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.94,922.64,2019-03-29,10:25:00 AM,Ewallet,878.7,4.761904762,43.935,5.1,878.7
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.91,166.16,2019-03-23,10:16:00 AM,Ewallet,158.25,4.761904762,7.9125,9.3,158.25
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,6:14:00 PM,Cash,496.2,4.761904762,24.81,7.4,496.2
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.35,742.3,2019-03-01,1:22:00 PM,Cash,706.95,4.761904762,35.3475,7.2,706.9499999999999
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,10.38,218.01,2019-02-01,11:27:00 AM,Cash,207.63,4.761904762,10.3815,4.9,207.63
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.48,367.04,2019-03-28,4:44:00 PM,Cash,349.56,4.761904762,17.478,9.9,349.56
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.62,223.07,2019-03-19,6:19:00 PM,Cash,212.45,4.761904762,10.6225,8.0,212.45
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.34,931.04,2019-01-12,2:50:00 PM,Ewallet,886.7,4.761904762,44.335,7.3,886.6999999999999
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.21,172.49,2019-01-05,8:54:00 PM,Credit card,164.28,4.761904762,8.214,7.9,164.28
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,18.64,391.42,2019-03-22,8:19:00 PM,Cash,372.78,4.761904762,18.639,7.4,372.78000000000003
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,15.29,321.11,2019-03-24,10:43:00 AM,Cash,305.82,4.761904762,15.291,4.2,305.82
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.98,860.68,2019-03-03,2:30:00 PM,Cash,819.7,4.761904762,40.985,9.2,819.6999999999999
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.73,309.36,2019-02-05,10:41:00 AM,Credit card,294.63,4.761904762,14.7315,7.8,294.63
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.49,535.37,2019-02-15,12:44:00 PM,Cash,509.88,4.761904762,25.494,8.4,509.88
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.13,548.76,2019-01-19,8:07:00 PM,Ewallet,522.63,4.761904762,26.1315,4.3,522.63
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,2019-02-01,8:31:00 PM,Credit card,727.11,4.761904762,36.3555,9.5,727.11
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,5.48,115.18,2019-03-05,12:29:00 PM,Ewallet,109.7,4.761904762,5.485,5.3,109.7
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,8:48:00 PM,Ewallet,109.6,4.761904762,5.48,6.0,109.6
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,5.34,112.22,2019-01-20,8:38:00 PM,Ewallet,106.88,4.761904762,5.344,4.1,106.88
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.82,836.3,2019-02-14,5:03:00 PM,Credit card,796.48,4.761904762,39.824,5.2,796.4799999999999
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.99,419.83,2019-01-12,12:02:00 PM,Credit card,399.84,4.761904762,19.992,6.5,399.84
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.98,944.62,2019-03-09,5:26:00 PM,Credit card,899.64,4.761904762,44.982,4.2,899.64
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.56,536.84,2019-03-13,7:52:00 PM,Credit card,511.28,4.761904762,25.564,4.6,511.28000000000003
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,22.59,474.35,2019-03-09,2:57:00 PM,Ewallet,451.76,4.761904762,22.588,7.3,451.76000000000005
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.79,688.62,2019-03-10,6:44:00 PM,Credit card,655.83,4.761904762,32.7915,4.5,655.83
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,8.06,169.31,2019-01-27,1:26:00 PM,Cash,161.25,4.761904762,8.0625,9.0,161.25
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.28,299.85,2019-01-08,4:17:00 PM,Credit card,285.57,4.761904762,14.2785,5.9,285.57000000000005
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,2019-01-08,3:57:00 PM,Ewallet,548.32,4.761904762,27.416,8.5,548.32
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,40.63,853.15,2019-02-08,11:15:00 AM,Ewallet,812.52,4.761904762,40.626,7.2,812.52
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,2019-01-25,1:18:00 PM,Cash,277.34,4.761904762,13.867,7.5,277.34
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580.42,2019-03-06,8:34:00 PM,Cash,552.78,4.761904762,27.639,8.3,552.78
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,6.97,146.33,2019-02-10,6:36:00 PM,Cash,139.36,4.761904762,6.968,7.4,139.36
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,26.24,550.93,2019-02-17,2:40:00 PM,Credit card,524.7,4.761904762,26.235,8.8,524.6899999999999
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,4:43:00 PM,Ewallet,487.8,4.761904762,24.39,5.3,487.80000000000007
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3,13.53,284.19,2019-02-18,7:39:00 PM,Cash,270.66,4.761904762,13.533,6.2,270.66
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138.13,2019-01-18,8:59:00 PM,Credit card,131.55,4.761904762,6.5775,8.8,131.54999999999998
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,216.85,2019-02-18,3:39:00 PM,Cash,206.52,4.761904762,10.326,9.8,206.51999999999998
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,25.96,545.05,2019-02-16,12:21:00 PM,Cash,519.1,4.761904762,25.955,8.2,519.0899999999999
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,8,29.0,609.0,2019-03-16,7:25:00 PM,Ewallet,580.0,4.761904762,29.0,9.2,580.0
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,1:00:00 PM,Credit card,898.0,4.761904762,44.9,5.4,898.0
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,1:48:00 PM,Cash,905.0,4.761904762,45.25,8.1,905.0
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,7:57:00 PM,Cash,686.0,4.761904762,34.3,9.1,686.0
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.38,491.08,2019-01-21,4:37:00 PM,Ewallet,467.7,4.761904762,23.385,8.0,467.7
458-41-1477,Giza,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.88,291.44,2019-03-08,5:11:00 PM,Credit card,277.56,4.761904762,13.878,9.5,277.56
685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28:00 PM,Ewallet,301.4,4.761904762,15.07,9.2,301.40000000000003
568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.23,277.79,2019-03-19,12:46:00 PM,Credit card,264.56,4.761904762,13.228,5.6,264.56
262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.74,603.62,2019-03-06,3:07:00 PM,Credit card,574.88,4.761904762,28.744,6.2,574.88
238-49-0436,Alex,Yangon,Normal,Male,Health and beauty,32.46,8,12.98,272.66,2019-03-27,1:48:00 PM,Credit card,259.68,4.761904762,12.984,4.9,259.68
608-96-3517,Cairo,Mandalay,Member,Female,Fashion accessories,91.54,4,18.31,384.47,2019-03-23,7:20:00 PM,Credit card,366.16,4.761904762,18.308,4.8,366.16
584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.1,254.02,2019-03-11,4:07:00 PM,Credit card,241.92,4.761904762,12.096,7.3,241.92000000000002
746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,786.62,2019-01-29,11:56:00 AM,Credit card,749.16,4.761904762,37.458,7.4,749.16
214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.94,103.82,2019-02-07,6:23:00 PM,Ewallet,98.88,4.761904762,4.944,9.9,98.88
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.39,680.15,2019-01-28,1:05:00 PM,Cash,647.76,4.761904762,32.388,9.3,647.76
782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,5,23.07,484.52,2019-02-20,3:55:00 PM,Credit card,461.45,4.761904762,23.0725,9.0,461.45
307-85-2293,Cairo,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,1:58:00 PM,Ewallet,251.4,4.761904762,12.57,9.7,251.40000000000003
743-04-1105,Cairo,Mandalay,Member,Male,Health and beauty,97.22,9,43.75,918.73,2019-03-30,2:43:00 PM,Ewallet,874.98,4.761904762,43.749,6.0,874.98
423-57-2993,Cairo,Mandalay,Normal,Male,Sports and travel,93.39,6,28.02,588.36,2019-03-27,7:18:00 PM,Ewallet,560.34,4.761904762,28.017,10.0,560.34
894-41-5205,Giza,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.27,362.71,2019-01-19,7:39:00 PM,Credit card,345.44,4.761904762,17.272,8.3,345.44
101-17-6199,Alex,Yangon,Normal,Male,Food and beverages,45.79,7,16.03,336.56,2019-03-13,7:44:00 PM,Credit card,320.53,4.761904762,16.0265,7.0,320.53
423-80-0988,Giza,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,7:42:00 PM,Ewallet,152.8,4.761904762,7.64,6.5,152.8
548-46-9322,Cairo,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,3:24:00 PM,Credit card,399.0,4.761904762,19.95,5.9,399.0
505-02-0892,Cairo,Mandalay,Member,Male,Health and beauty,42.57,8,17.03,357.59,2019-02-25,2:12:00 PM,Ewallet,340.56,4.761904762,17.028,5.6,340.55999999999995
234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,1:32:00 PM,Cash,955.8,4.761904762,47.79,4.8,955.8000000000001
687-47-8271,Alex,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,4:20:00 PM,Credit card,989.8,4.761904762,49.49,8.7,989.8
796-32-9050,Alex,Yangon,Normal,Male,Food and beverages,51.28,6,15.38,323.06,2019-01-19,4:31:00 PM,Cash,307.68,4.761904762,15.384,6.5,307.68
105-31-1824,Alex,Yangon,Member,Male,Sports and travel,69.52,7,24.33,510.97,2019-02-01,3:10:00 PM,Credit card,486.64,4.761904762,24.332,8.5,486.64000000000004
249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,5,17.5,367.55,2019-01-03,11:36:00 AM,Ewallet,350.05,4.761904762,17.5025,5.5,350.05
316-55-4634,Cairo,Mandalay,Member,Male,Food and beverages,80.05,5,20.01,420.26,2019-01-26,12:45:00 PM,Credit card,400.25,4.761904762,20.0125,9.4,400.25
733-33-4967,Giza,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,7:17:00 PM,Cash,166.8,4.761904762,8.34,6.3,166.79999999999998
608-27-6295,Cairo,Mandalay,Member,Male,Electronic accessories,52.89,6,15.87,333.21,2019-01-19,5:34:00 PM,Credit card,317.34,4.761904762,15.867,9.8,317.34
414-12-7047,Cairo,Mandalay,Normal,Male,Food and beverages,19.79,8,7.92,166.24,2019-01-18,12:04:00 PM,Ewallet,158.32,4.761904762,7.916,8.7,158.32000000000002
827-26-2100,Alex,Yangon,Member,Male,Home and lifestyle,33.84,9,15.23,319.79,2019-03-21,4:21:00 PM,Ewallet,304.56,4.761904762,15.228,8.8,304.56
175-54-2529,Alex,Yangon,Member,Male,Food and beverages,22.17,8,8.87,186.23,2019-03-03,5:01:00 PM,Credit card,177.36,4.761904762,8.868,9.6,177.35999999999999
139-52-2867,Giza,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.88,165.45,2019-02-13,10:50:00 AM,Credit card,157.57,4.761904762,7.8785,4.8,157.57
407-63-8975,Alex,Yangon,Normal,Male,Food and beverages,73.88,6,22.16,465.44,2019-03-23,7:16:00 PM,Ewallet,443.28,4.761904762,22.164,4.4,443.28
342-65-4817,Giza,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,4:47:00 PM,Ewallet,260.4,4.761904762,13.02,9.9,260.40000000000003
